CIPCODE,CIPDESC
0100,"Agriculture, General"
0101,Agricultural Business and Management
0109,Animal Sciences
0110,Food Science and Technology
0111,Plant Sciences
0199,"Agriculture, Agriculture Operations, and Related Sciences, Other"
0305,Forestry
0403,"City/Urban, Community and Regional Planning"
0502,"Ethnic, Cultural Minority, Gender, and Group Studies"
1002,Audiovisual Communications Technologies/Technicians
1101,"Computer and Information Sciences, General"
1310,Special Education and Teaching
1312,"Teacher Education and Professional Development, Specific Levels and Methods"
1313,"Teacher Education and Professional Development, Specific Subject Areas"
1408,Civil Engineering
1410,"Electrical, Electronics and Communications Engineering"
1419,Mechanical Engineering
1503,Electrical Engineering Technologies/Technicians
1506,Industrial Production Technologies/Technicians
1508,Mechanical Engineering Related Technologies/Technicians
1510,Construction Engineering Technologies
1901,"Family and Consumer Sciences/Human Sciences, General"
2301,"English Language and Literature, General"
2401,"Liberal Arts and Sciences, General Studies and Humanities"
2601,"Biology, General"
2701,Mathematics
3105,Health and Physical Education/Fitness
4005,Chemistry
4008,Physics
4201,"Psychology, General"
4301,Criminal Justice and Corrections
4407,Social Work
4510,Political Science and Government
4511,Sociology
5007,Fine and Studio Arts
5009,Music
5202,"Business Administration, Management and Operations"
5203,Accounting and Related Services
5207,Entrepreneurial and Small Business Operations
5208,Finance and Financial Management Services
5214,Marketing
0901,Communication and Media Studies
1401,"Engineering, General"
1405,Biomedical/Medical Engineering
1418,Materials Engineering
1601,"Linguistic, Comparative, and Related Language Studies and Services"
1609,"Romance Languages, Literatures, and Linguistics"
2605,Microbiological Sciences and Immunology
2608,Genetics
2611,"Biomathematics, Bioinformatics, and Computational Biology"
2615,Neurobiology and Neurosciences
3801,Philosophy
4304,Security Science and Technology
4502,Anthropology
4599,"Social Sciences, Other"
5005,Drama/Theatre Arts and Stagecraft
5100,"Health Services/Allied Health/Health Sciences, General"
5107,Health and Medical Administrative Services
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions"
5110,Clinical/Medical Laboratory Science/Research and Allied Professions
5122,Public Health
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing"
5206,Business/Managerial Economics
5210,Human Resources Management and Services
5212,Management Information Systems and Services
5218,"General Sales, Merchandising and Related Marketing Operations"
5401,History
1907,"Human Development, Family Studies, and Related Services"
3902,Bible/Biblical Studies
3907,Pastoral Counseling and Specialized Ministries
5205,Business/Corporate Communications
1110,Computer/Information Technology Administration and Management
1301,"Education, General"
1402,"Aerospace, Aeronautical and Astronautical Engineering"
1407,Chemical Engineering
1409,Computer Engineering
1435,Industrial Engineering
1499,"Engineering, Other"
2313,Rhetoric and Composition/Writing Studies
3099,"Multi/Interdisciplinary Studies, Other"
4099,"Physical Sciences, Other"
1104,Information Science/Studies
1107,Computer Science
2613,"Ecology, Evolution, Systematics, and Population Biology"
3103,"Parks, Recreation and Leisure Facilities Management"
5003,Dance
5123,Rehabilitation and Therapeutic Professions
0301,Natural Resources Conservation and Research
0501,Area Studies
0904,Journalism
0907,"Radio, Television, and Digital Communication"
0909,"Public Relations, Advertising, and Applied Communication"
1306,"Educational Assessment, Evaluation, and Research"
1404,Architectural Engineering
1414,Environmental/Environmental Health Engineering
1420,Metallurgical Engineering
1433,Construction Engineering
1436,Manufacturing Engineering
1605,"Germanic Languages, Literatures, and Linguistics"
1904,Family and Consumer Economics and Related Studies
1905,"Foods, Nutrition, and Related Services"
1909,Apparel and Textiles
3000,"Multi-/Interdisciplinary Studies, General"
3802,Religion/Religious Studies
4006,Geological and Earth Sciences/Geosciences
4504,Criminology
4507,Geography and Cartography
4509,International Relations and National Security Studies
5004,Design and Applied Arts
5102,Communication Disorders Sciences and Services
5131,Dietetics and Clinical Nutrition Services
5199,"Health Professions and Related Clinical Sciences, Other"
5209,Hospitality Administration/Management
5213,Management Sciences and Quantitative Methods
1399,"Education, Other"
3017,Behavioral Sciences
4302,Fire Protection
4303,Homeland Security
4501,"Social Sciences, General"
5299,"Business, Management, Marketing, and Related Support Services, Other"
4001,Physical Sciences
4506,Economics
5201,"Business/Commerce, General"
5211,International Business
0103,Agricultural Production Operations
0108,Agricultural Public Services
0302,Natural Resources Management and Policy
0306,Wildlife and Wildlands Science and Management
0402,Architecture
0404,Environmental Design
0405,Interior Architecture
1432,Polymer/Plastics Engineering
1445,Biological/Biosystems Engineering
1999,"Family and Consumer Sciences/Human Sciences, Other"
2200,Non-Professional General Legal Studies (Undergraduate)
2607,Zoology/Animal Biology
2609,"Physiology, Pathology and Related Sciences"
2612,Biotechnology
2703,Applied Mathematics
3019,Nutrition Sciences
4404,Public Administration
4901,Air Transportation
0499,"Architecture and Related Services, Other"
3020,International/Global Studies
2203,Legal Support Services
0113,Agriculture/Veterinary Preparatory Programs
0181,Veterinary Biomedical and Clinical Sciences
2602,"Biochemistry, Biophysics and Molecular Biology"
3903,Missions/Missionary Studies and Missiology
3906,Theological and Ministerial Studies
4228,"Clinical, Counseling and Applied Psychology"
4299,"Psychology, Other"
5111,Health/Medical Preparatory Programs
5115,Mental and Social Health Services and Allied Professions
1102,Computer Programming
2604,Cell/Cellular Biology and Anatomical Sciences
3904,Religious Education
1507,Quality Control and Safety Technologies/Technicians
1599,"Engineering Technologies/Technicians, Other"
3101,"Parks, Recreation and Leisure Studies"
4499,"Public Administration and Social Service Professions, Other"
0105,Agricultural and Domestic Animal Services
1500,"Engineering Technology, General"
3001,Biological and Physical Sciences
4399,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other"
0999,"Communication, Journalism, and Related Programs, Other"
1109,Computer Systems Networking and Telecommunications
5001,"Visual and Performing Arts, General"
3023,Intercultural/Multicultural and Diversity Studies
3601,Leisure and Recreational Activities
3905,Religious/Sacred Music
1205,Culinary Arts and Related Services
3033,Sustainability Studies
3199,"Parks, Recreation, Leisure, and Fitness Studies, Other"
4227,Research and Experimental Psychology
5010,"Arts, Entertainment,and Media Management"
4405,Public Policy Analysis
5139,"Practical Nursing, Vocational Nursing and Nursing Assistants"
1311,Student Counseling and Personnel Services
1412,Engineering Physics
1612,"Classics and Classical Languages, Literatures, and Linguistics"
3026,Cultural Studies/Critical Theory and Analysis
3800,"Philosophy and Religious Studies, General"
3899,"Philosophy and Religious Studies, Other"
4400,"Human Services, General"
5099,"Visual and Performing Arts, Other"
5120,"Pharmacy, Pharmaceutical Sciences, and Administration"
2705,Statistics
4004,Atmospheric Sciences and Meteorology
5127,Medical Illustration and Informatics
3010,Biopsychology
1199,"Computer and Information Sciences and Support Services, Other"
1511,Engineering-Related Technologies
1616,American Sign Language
3015,"Science, Technology and Society"
0112,Soil Sciences
0409,Architectural Sciences and Technology
4604,"Building/Construction Finishing, Management, and Inspection"
5220,Construction Management
1299,"Personal and Culinary Services, Other"
2202,Legal Research and Advanced Professional Studies
4199,"Science Technologies/Technicians, Other"
5106,Dental Support Services and Allied Professions
5108,Allied Health and Medical Assisting Services
0303,Fishing and Fisheries Sciences and Management
0399,"Natural Resources and Conservation, Other"
1421,Mining and Mineral Engineering
1425,Petroleum Engineering
1439,Geological/Geophysical Engineering
1603,"East Asian Languages, Literatures, and Linguistics"
1610,"American Indian/Native American Languages, Literatures, and Linguistics"
1699,"Foreign Languages, Literatures, and Linguistics, Other"
4402,Community Organization and Advocacy
5006,Film/Video and Photographic Arts
3106,Outdoor Education
0406,Landscape Architecture
1003,Graphic Communications
1105,Computer Systems Analysis
1413,Engineering Science
1512,Computer Engineering Technologies/Technicians
1515,Engineering-Related Fields
1604,"Slavic, Baltic and Albanian Languages, Literatures, and Linguistics"
2610,Pharmacology and Toxicology
3028,Dispute Resolution
3031,Human Computer Interaction
3038,Earth Systems Science
3070,Data Science
4100,"Science Technologies/Technicians, General"
4512,Urban Studies/Affairs
5112,Medicine
1108,Computer Software and Media Applications
1304,Educational Administration and Supervision
1427,Systems Engineering
1611,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics"
2201,Law
2299,"Legal Professions and Studies, Other"
2699,"Biological and Biomedical Sciences, Other"
2902,"Intelligence, Command Control and Information Operations"
3018,Natural Sciences
3051,"Philosophy, Politics, and Economics"
4002,Astronomy and Astrophysics
4010,Materials Sciences
2314,Literature
3027,Human Biology
1302,"Bilingual, Multilingual, and Multicultural Education"
3030,Computational Science
5219,"Specialized Sales, Merchandising and Marketing Operations"
3999,"Theology and Religious Vocations, Other"
1442,"Mechatronics, Robotics, and Automation Engineering"
5118,Ophthalmic and Optometric Support Services and Allied Professions
0106,Applied Horticulture and Horticultural Business Services
1103,Data Processing
5217,Insurance
1001,Communications Technology/Technician
1906,Housing and Human Environments
1305,Educational/Instructional Media Design
1513,Drafting/Design Engineering Technologies/Technicians
1902,Family and Consumer Sciences/Human Sciences Business Services
4706,Vehicle Maintenance and Repair Technologies
1504,Electromechanical Instrumentation and Maintenance Technologies/Technicians
1447,Electrical and Computer Engineering
2706,Applied Statistics
3071,Data Analytics
4807,Woodworking
5002,"Crafts/Craft Design, Folk Art and Artisanry"
1403,Agricultural Engineering
0102,Agricultural Mechanization
3032,Marine Sciences
3025,Cognitive Science
3016,Accounting and Computer Science
5215,Real Estate
0183,Veterinary/Animal Health Technologies/Technicians
2603,Botany/Plant Biology
3008,Mathematics and Computer Science
2399,"English Language and Literature/Letters, Other"
3005,Peace Studies and Conflict Resolution
1437,Operations Research
3011,Gerontology
1423,Nuclear Engineering
1613,"Celtic Languages, Literatures, and Linguistics"
3022,Classical and Ancient Studies
0107,International Agriculture
1309,Social and Philosophical Foundations of Education
0410,Real Estate Development
3013,Medieval and Renaissance Studies
4503,Archeology
4903,Marine Transportation
3006,Systems Science and Theory
1203,Funeral Service and Mortuary Science
5221,Telecommunications Management
5132,Bioethics/Medical Ethics
0910,Publishing
4513,Sociology and Anthropology
4101,Biology Technician/Biotechnology Laboratory Technician
3041,Environmental Geosciences
4505,Demography and Population Studies
3047,Linguistics and Anthropology
0408,Architectural History and Criticism
3401,Health-Related Knowledge and Skills
1307,International and Comparative Education
2799,"Mathematics and Statistics, Other"
1303,Curriculum and Instruction
3014,Museology/Museum Studies
1443,Biochemical Engineering
1204,Cosmetology and Related Personal Grooming Services
1502,Civil Engineering Technologies/Technicians
5133,Alternative and Complementary Medicine and Medical Systems
5136,Movement and Mind-Body Therapies and Education
1505,Environmental Control Technologies/Technicians
1444,Engineering Chemistry
2903,Military Applied Sciences
2904,Military Systems and Maintenance Technology
1501,Architectural Engineering Technologies/Technicians
2501,Library Science and Administration
1422,Naval Architecture and Marine Engineering
1314,Teaching English or French as a Second or Foreign Language
3012,Historic Preservation and Conservation
4202,Clinical Psychology
5105,Advanced/Graduate Dentistry and Oral Sciences
1424,Ocean Engineering
1438,Surveying Engineering
0104,Agricultural and Food Products Processing
3044,Geography and Environmental Studies
5116,Nursing
1517,Energy Systems Technologies/Technicians
5204,Business Operations Support and Assistant Services
3046,History and Political Science
1428,Textile Sciences and Engineering
1614,"Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics"
3052,Digital Humanities and Textual Studies
1514,Nuclear Engineering Technologies/Technicians
4603,Electrical and Power Transmission Installers
4701,Electrical/Electronics Maintenance and Repair Technology
4805,Precision Metal Working
4702,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)"
4703,Heavy/Industrial Equipment Maintenance Technologies
5101,Chiropractic
1315,Teaching Assistants/Aides
1607,"South Asian Languages, Literatures, and Linguistics"
1099,"Communications Technologies/Technicians and Support Services, Other"
1411,Engineering Mechanics
4999,"Transportation and Materials Moving, Other"
2801,"Air Force ROTC, Air Science and Operations"
5011,Community/Environmental/Socially-Engaged Art
1448,Energy Systems Engineering
3039,Economics and Computer Science
4011,Physics and Astronomy
2803,"Army ROTC, Military Science and Operations"
0180,Veterinary Medicine
1509,Mining and Petroleum Technologies/Technicians
3201,Basic Skills and Developmental/Remedial Education
3029,Maritime Studies
1608,"Iranian/Persian Languages, Literatures, and Linguistics"
5302,High School/Secondary Certificate Programs
4206,Counseling Psychology
1602,"African Languages, Literatures, and Linguistics"
1615,"Turkic, Uralic-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics"
5301,High School/Secondary Diploma Programs
3301,Citizenship Activities
1441,Electromechanical Engineering
5216,Taxation
0599,"Area, Ethnic, Cultural, and Gender Studies, Other"
1606,Modern Greek Language and Literature
4102,Nuclear and Industrial Radiologic Technologies/Technicians
5135,Somatic Bodywork and Related Therapeutic Services
1440,Paper Science and Engineering
3036,Cultural Studies and Comparative Literature
2999,"Military Technologies and Applied Sciences, Other"
1406,Ceramic Sciences and Engineering
5117,Optometry
3908,Religious Institution Administration and Law
4600,"Construction Trades, General"
3021,Holocaust and Related Studies
3049,Mathematical Economics
4799,"Mechanic and Repair Technologies/Technicians, Other"
4103,Physical Science Technologies/Technicians
0182,Veterinary Administrative Services
4699,"Construction Trades, Other"
1516,Nanotechnology
2805,Military Science and Operational Studies
2806,Security Policy and Strategy
2906,Military Technology and Applied Sciences Management
1434,Forest Engineering
2305,Creative Writing
3045,History and Language/Literature
5137,Energy and Biologically Based Therapies
1910,Work and Family Studies
3034,Anthrozoology
5134,Alternative and Complementary Medical Support Services
3501,Interpersonal and Social Skills
5104,Dentistry
5114,Medical Clinical Sciences/Graduate Medical Studies
2503,Library and Archives Assisting
